name,category,traffic_light,fructans,gos,fructose,lactose,sorbitol,mannitol,safe_amount
Aloe drink,Beverages,Amber,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,64ml
Chrysanthemum tea,Beverages,Amber,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,180ml
Cranberry juice,Beverages,Amber,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,30ml
Fresh coconut water,Beverages,Amber,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,100ml
Fresh orange juice,Beverages,Amber,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,72ml
Red wine,Beverages,Amber,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,149ml
Vegetable juice,Beverages,Amber,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,75ml
Weak chai tea,Beverages,Amber,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,250ml
Weak dandelion tea,Beverages,Amber,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,250ml
Beer,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Black tea,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Espresso,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Gin,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Green tea,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Instant coffee,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Kvass,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Liquorice tea,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Peppermint tea,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Rooibos tea,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Vodka,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Water,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Wheatgrass powder,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Whiskey,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
White wine,Beverages,Green,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Any
Apple juice,Beverages,Red,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,None
Chamomile tea,Beverages,Red,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None
Fennel tea,Beverages,Red,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None
Oolong tea,Beverages,Red,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None
Rum,Beverages,Red,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,None
Sticky wine,Beverages,Red,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,None
Tropical juice,Beverages,Red,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,None
